Programa,SEXO,NEM,PAES,ICA,Q1_MDV1,Q1_MDV2,Q1_MDV3,Q1_MDV4,Q1_MDV5,Q1_D1,Q1_MDF1,Q1_MDF2,Q1_MDF3,Q1_MDF4,Q1_MDF5,Q2_MDS1,Q2_MDS2,Q2_MDS3,Q2_MDS4,Q2_MDS5,Q2_D1,Q2_MDG1,Q2_MDG2,Q2_MDG3,Q2_MDG4,Q2_MDG5,Q3_MDI1,Q3_MDI2,Q3_MDI3,Q3_MDI4,Q3_D1,Q3_MDE1,Q3_MDE2,Q3_MDE3,Q3_MDE4,Q4_S1,Q4_S2,Q4_S3,Q4_S4,Q4_S5,Q4_S6,Q4_S7,Q4_S8,Q5_BA1,Q5_BA2,Q5_BA3,Q5_BP1,Q5_BP2,Q5_BS1,Q5_BS2,Q5_BF1,Q5_BF2,Q5_I1,Q5_I2,Q6_A1,Q6_A2,Q6_A3,Q6_B1,Q6_B2,Q6_B3,Q7_A1,Q7_A2,Q7_A3,Q7_A4,Q7_A5,Q7_B1,Q8_EM1,Q8_EM2,Q8_EM3,Q8_EM4,Q9_E1,Q9_E2,Q9_E3
Administration,female,900,721,5645,4,2,1,2,4,4,4,2,3,2,3,3,2,2,2,4,4,3,3,1,3,3,2,3,4,2,1,4,4,3,4,4,4,4,3,4,3,2,2,3,2,1,1,3,4,3,4,4,2,4,2,3,4,1,1,1,2,4,4,2,4,4,4,3,4,3,4,4,3
Administration,female,951,778,6398,3,3,3,4,2,1,2,2,2,2,2,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,1,3,3,1,3,1,3,3,2,3,3,3,2,3,2,3,4,2,3,4,4,2,1,1,1,4,2,2,4,2,3,2,4,3,2,3,3
Administration,male,742,642.2,3325,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,1,4,4,3,2,3,2,3,1,3,4,1,3
Engineering,male,757,780,160,1,2,3,1,1,1,1,1,1,3,2,1,2,3,1,1,1,1,1,1,3,2,2,3,2,3,3,1,1,3,1,1,1,2,2,1,1,2,3,2,1,1,1,1,1,2,1,1,2,2,1,3,3,4,3,3,2,1,2,3,1,2,3,3,3,4,1,1,1
Engineering,female,765,765,660,1,2,4,3,2,1,2,2,2,2,2,1,2,4,3,2,1,2,2,2,2,2,3,3,2,3,4,2,1,1,1,3,1,2,1,1,3,1,1,1,1,2,1,1,3,3,2,2,2,2,1,2,2,3,3,3,2,2,2,2,2,2,3,3,3,3,2,2,2
Social Sciences,female,922,723,6818,1,1,3,1,1,1,3,3,3,3,3,1,1,3,1,1,1,3,3,3,3,3,3,2,3,3,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,2,3,3,3,1,1,4,4,4,4,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
Administration,female,879,772,6104,1,2,1,1,1,1,3,4,3,2,4,3,2,2,1,4,3,1,3,2,2,3,2,3,1,3,3,2,4,3,1,3,2,1,3,4,2,4,2,2,4,1,2,3,3,1,2,1,1,3,2,3,3,1,4,3,1,2,1,4,3,1,3,2,4,2,1,2,3
Social Sciences,female,852,621.4,6216,1,1,2,1,3,1,2,3,2,2,3,1,1,2,1,3,1,2,3,2,2,3,3,2,1,2,3,1,3,1,2,1,1,4,4,1,4,2,1,1,2,2,1,3,1,3,1,1,4,3,4,4,4,2,3,2,1,3,1,1,3,3,1,1,3,4,1,1,1
Administration,female,799,658,4861,3,4,4,2,2,1,3,4,2,3,4,2,3,3,2,2,2,3,3,2,3,3,4,3,2,3,4,1,2,3,2,3,2,3,3,2,3,2,3,3,2,2,2,3,3,3,2,2,3,3,4,4,4,2,2,1,3,3,3,3,3,1,4,4,4,4,4,4,4
Administration,male,814,742,5712,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,4,2,2,2,3,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,3,1,1,3,1,1,2,4,4,4,4,1,1,1
Administration,male,856,639,4763,1,3,3,4,1,1,1,1,3,2,2,1,2,2,2,1,1,2,1,1,1,1,3,2,2,2,1,1,1,3,3,1,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,2,3,2,3,2,1,1,2,1,1,1,3,1,1,1,3,1,1,1
Administration,male,886,735,6202,2,3,3,3,2,1,3,3,2,2,4,2,3,3,3,2,1,3,3,2,2,4,4,3,3,2,4,1,1,3,3,1,1,1,2,1,2,1,1,1,3,2,2,1,4,2,2,1,3,4,4,4,4,2,2,1,3,4,2,3,2,1,4,4,4,4,2,3,2
Administration,male,779,687,5712,2,3,3,2,2,4,2,1,2,2,2,3,2,3,3,2,1,2,2,3,2,2,2,2,3,2,4,4,2,3,2,2,1,1,2,1,3,1,1,1,1,1,2,1,1,4,2,2,1,2,2,2,2,4,4,3,2,3,3,3,2,2,3,4,4,4,1,1,1
Administration,female,851,833,6692,2,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,2,3,4,3,3,4,4,1,1,3,1,1,1,2,1,1,1,1,3,1,1,1,2,2,1,1,1,1,4,1,3,4,3,2,1,1,2,2,3,4,4,2,4,2,4,4,4,3,4
Administration,male,742,742,5449,1,3,2,1,2,1,1,1,3,1,2,1,1,1,1,2,1,2,1,3,1,1,3,2,3,2,3,3,2,2,3,1,1,3,3,1,3,1,1,2,1,1,1,1,1,4,3,2,1,1,1,1,1,2,2,3,1,1,1,1,2,1,2,1,1,1,1,1,1
Administration,male,799,698.5,6006,4,4,3,3,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Social Sciences,female,810,595.4,656,4,3,1,4,4,4,3,3,1,2,3,3,3,1,2,4,2,3,3,3,3,3,1,1,1,1,1,4,4,4,4,4,4,1,1,3,2,2,1,2,3,2,4,4,1,1,1,2,1,2,1,1,1,4,4,4,2,3,2,3,2,3,2,3,2,3,3,2,2
Engineering,male,722,626.9,3691,1,3,3,3,2,1,2,2,3,2,2,1,3,2,2,2,1,2,2,3,2,2,4,3,2,2,3,1,2,3,2,2,1,2,3,1,2,1,1,1,1,1,1,1,2,3,2,2,1,1,2,2,1,4,2,3,1,1,2,2,1,3,2,2,2,4,1,1,1
Engineering,male,828,812,620,2,3,4,4,2,1,1,1,3,2,2,2,3,4,4,2,1,1,1,3,2,2,4,4,4,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,2,2,3,2,4,4,4,3,2,4,3,1,3,2,3,4,3,2,2,2
Engineering,male,814,815,660,2,3,4,3,3,1,1,1,1,1,2,2,3,4,3,3,1,1,1,1,1,1,2,1,2,2,4,2,2,2,2,3,1,1,2,1,3,1,1,1,1,1,1,1,4,4,1,1,2,2,2,2,2,3,4,4,1,2,1,2,3,3,3,3,2,3,3,3,3
Administration,male,823,736,4567,2,3,3,2,3,1,2,3,1,2,4,2,3,3,2,3,1,2,3,1,2,4,3,2,1,1,4,3,2,3,2,1,1,1,2,1,2,1,2,2,2,3,3,3,2,3,1,1,3,4,3,3,3,3,3,2,1,2,2,3,3,3,4,4,4,4,1,1,2
Social Sciences,male,842,741,6608,2,3,4,2,1,2,1,2,1,2,2,2,3,4,2,2,3,2,2,1,3,2,2,3,2,4,3,3,2,2,1,1,2,3,2,1,1,1,2,1,2,1,2,3,3,3,2,3,3,2,2,3,3,4,3,3,2,3,3,2,3,1,1,3,2,3,2,2,3
Engineering,male,900,647,4291,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,2,1,1,1,2,2,2,2,2
Administration,female,928,812,6104,1,1,4,1,1,1,2,2,2,2,2,1,2,1,2,2,2,1,2,3,3,2,1,3,2,3,4,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,1,2,2,1,2,2,2,1,3,4,1,1,1,1,1,1,1,1,2,2,1,1,1
Administration,male,851,665,2572,1,3,2,2,2,1,1,4,3,2,3,1,2,1,2,2,2,1,1,2,2,2,3,3,3,3,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,1,3,3,1,1,1
Administration,male,793,764,679,1,1,3,1,1,1,1,2,2,3,3,1,2,2,2,2,1,2,2,1,2,3,3,2,2,1,4,1,2,2,1,1,1,2,3,1,3,3,2,3,1,1,1,2,1,1,1,1,4,1,2,2,2,1,2,1,4,3,4,4,4,4,4,4,4,4,4,4,4
Engineering,male,779,680.8,580,1,3,2,2,2,3,2,2,1,4,2,2,3,3,1,3,4,2,1,3,2,3,1,2,1,3,2,4,2,3,2,1,2,3,2,3,1,3,2,2,1,3,4,2,3,1,3,2,3,1,1,2,3,2,2,3,2,3,1,3,2,3,2,1,2,2,1,2,2
Administration,male,765,730,6496,1,1,3,1,1,1,3,3,2,3,3,1,1,3,1,1,1,3,3,2,3,3,3,3,3,3,3,1,1,1,1,2,2,2,3,3,3,2,2,3,2,2,2,3,3,3,2,2,3,2,3,3,3,2,2,2,2,3,3,3,4,2,3,3,2,2,3,3,3
Engineering,male,893,618,680,1,3,1,1,1,1,1,2,1,2,2,1,3,1,1,1,1,2,3,1,2,2,3,2,2,3,2,1,1,2,1,1,1,2,2,1,4,2,3,2,1,3,1,1,4,4,1,2,3,3,2,3,3,3,1,1,2,2,2,3,3,2,3,3,3,4,2,2,2
Administration,male,771,804,6496,2,4,3,2,3,4,4,4,2,3,3,3,3,2,4,4,1,3,3,4,2,3,3,1,2,1,3,3,1,4,4,4,4,4,2,3,2,4,4,1,1,2,2,1,1,1,1,1,1,4,2,2,2,2,4,4,4,4,4,4,4,3,3,2,4,1,4,4,4
Administration,male,796,671.7,6594,1,1,1,1,2,1,2,2,2,2,3,1,1,1,1,2,1,2,2,2,2,3,3,2,1,3,4,1,2,3,1,1,1,1,3,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,4,4,4,4,4,4,2,2,2,2,4,4,4
Administration,male,828,705.7,5057,2,2,4,1,1,1,2,2,2,2,2,1,2,3,3,2,2,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,1,1,3,1,3,2,2,4,3,4
Engineering,female,914,858,730,1,2,4,2,2,3,3,3,2,3,4,3,3,4,3,2,3,3,3,2,3,4,3,2,2,2,4,3,3,3,3,3,1,3,4,1,3,1,4,2,2,2,2,2,4,4,2,2,2,1,3,3,3,4,4,4,4,3,4,4,3,3,3,4,4,4,1,1,2
Engineering,male,799,718,2336,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2
Engineering,male,793,753,2336,3,2,2,2,3,1,2,2,3,3,1,1,3,2,2,3,1,2,2,1,1,2,4,4,3,2,2,1,2,2,1,2,3,2,2,2,3,2,2,3,2,2,2,2,1,1,3,2,2,1,2,2,3,1,1,1,2,2,1,1,1,2,2,2,1,2,2,2,1
Administration,male,922,831,7084,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,1,4,1,4,4,4,3,3,3,1,3,3,1,2,2,3,4,2,3,2,1,4,1,2,3,1,1,2,4,2,3,4,1,1
Engineering,female,793,657.3,3791,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,4,2,1,1,4,1,1,4,4,1,1,1,1,1,1,1,3,1,1,2,1,1,2,2,1,1,3,2,1,2,3,4,2,1,1,1,1,1,1,1,2,2,2,2,1,1,1
Engineering,female,823,801,710,1,1,2,1,3,2,3,3,2,2,3,1,1,2,1,2,2,3,3,2,3,3,4,4,3,4,4,2,2,3,2,2,1,1,3,1,4,1,4,1,1,2,2,2,4,4,3,3,2,3,1,3,3,3,3,2,2,2,2,3,2,3,4,2,3,3,2,2,2
Administration,female,870,738,6986,1,1,1,1,1,1,2,3,2,3,4,1,1,1,1,1,1,2,3,2,3,4,2,4,2,4,2,2,1,2,1,3,1,3,4,1,4,1,4,2,1,1,1,1,2,1,1,1,3,1,3,4,3,1,2,2,1,3,2,3,2,2,4,3,4,4,2,2,1
Administration,male,727,742,4959,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,2,1,2,1,2,2,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1
Administration,female,823,625,4567,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,3,4,3,3,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Engineering,male,837,744.7,0,1,2,3,1,1,1,2,2,3,2,3,1,1,2,1,1,1,2,3,3,2,3,2,2,1,2,2,1,2,2,1,1,1,2,3,2,3,2,3,2,1,2,1,2,2,3,1,2,3,3,3,3,3,2,1,1,1,1,1,1,2,2,1,3,2,3,1,1,1
Engineering,male,893,710,2936,3,3,3,3,3,1,1,1,1,2,3,3,4,3,3,3,1,1,1,1,1,3,4,2,1,2,4,1,1,3,1,1,1,3,2,1,4,1,2,3,2,3,1,1,3,4,2,1,3,1,2,3,3,2,2,4,2,1,3,2,2,3,3,2,2,3,2,2,2
Engineering,female,856,668.2,2436,4,2,3,2,4,2,2,2,1,2,1,1,3,2,3,2,3,1,2,3,2,3,3,4,1,2,3,3,2,1,2,1,1,1,1,1,1,1,1,1,2,3,4,1,3,3,1,3,3,3,3,1,2,3,4,2,2,1,3,2,2,2,1,3,2,4,1,3,4
Administration,male,828,750.6,6398,3,4,2,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,3,2,3,3,3,2,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,3,4,3,3,2,3,2,2,4,4,3,4,3,4,3,3,4,2,4,4,4
Engineering,male,810,633.4,2536,2,3,3,3,1,1,2,1,1,2,3,1,3,3,3,1,1,2,2,1,2,3,4,1,1,1,4,1,4,4,4,1,1,1,1,1,3,1,2,1,1,2,1,1,2,3,4,4,3,4,3,3,3,2,1,3,2,2,3,3,2,3,3,2,3,3,3,3,1
Engineering,female,865,801,2636,1,2,3,4,3,2,4,3,2,4,4,2,1,3,1,3,4,3,3,4,3,4,4,3,3,2,4,4,3,4,3,3,3,4,2,4,3,4,2,4,3,4,3,2,4,3,3,4,3,4,4,3,4,3,4,3,4,3,2,3,3,4,3,4,2,4,3,3,4
Social Sciences,female,879,736.8,6474,2,2,4,2,2,1,1,2,2,2,3,2,2,4,2,2,1,1,2,2,2,3,4,2,2,3,2,1,2,3,2,3,2,4,4,2,4,2,4,2,3,3,2,3,4,4,2,2,4,3,4,4,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2
Administration,female,799,634,3619,1,1,3,2,1,1,2,3,4,3,2,1,1,4,2,1,1,2,3,4,3,2,3,2,1,3,1,2,1,2,1,1,1,1,4,1,3,1,1,1,1,2,2,1,1,1,4,2,3,1,4,4,3,2,1,2,4,4,4,4,4,4,1,2,4,4,4,4,4
Engineering,male,842,766,600,1,1,1,1,1,2,1,1,1,2,1,2,2,2,1,1,2,2,3,1,2,1,1,2,2,1,1,1,2,3,3,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1
Social Sciences,female,814,738.75,5543,3,2,1,2,1,4,2,2,2,2,1,2,1,1,1,1,4,2,1,1,2,1,1,3,1,4,1,4,1,4,1,3,4,1,1,2,1,2,1,1,3,1,2,1,2,2,3,1,1,2,1,1,1,4,4,4,2,2,2,3,2,2,2,2,2,2,2,2,2
Engineering,male,837,776,630,1,3,3,2,1,1,2,2,1,1,3,1,3,3,2,1,1,2,2,1,1,3,3,1,1,1,4,3,2,3,2,2,1,1,2,1,1,1,3,1,1,3,2,1,1,3,1,1,3,3,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Engineering,male,808,678.8,630,1,2,3,2,2,1,2,1,1,3,2,1,2,3,2,2,1,2,1,1,3,2,4,3,2,4,4,1,1,4,1,1,1,1,2,1,2,1,1,3,1,2,1,1,3,4,2,1,2,1,2,2,2,3,2,1,2,2,3,4,4,2,2,2,4,4,4,4,4
Engineering,male,886,828,2136,2,3,3,4,2,1,1,1,1,1,1,3,3,3,3,2,1,1,1,1,1,1,3,3,3,3,3,3,2,2,1,2,1,1,2,1,1,1,2,2,1,2,2,2,1,1,2,2,3,2,2,4,3,2,2,3,2,1,2,3,3,3,3,4,4,4,2,3,2
Engineering,female,808,809,690,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,4,4,3,2,4,3,2,4,2,3,3,2,3,4,3,2,4,3,2,3,4,3,2,4,4,1,2,1,2,1,4,3,4,2,4,4,3,2,3,2,3,2,3
Engineering,male,942,816,620,1,3,4,1,3,1,4,3,3,3,1,1,1,3,2,1,2,3,3,1,1,1,3,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,4,3,3,3,2,2,2,3,1,2,3,2,2,2,1,2,1,2,1
Engineering,male,856,765,620,2,3,4,4,1,1,2,1,3,3,1,2,4,4,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,2,1,2,2,3,3,3,1,1,4,1,2,1,1,2,2,4,3,4,4,1,1,4
Engineering,male,785,759,4545,2,2,1,1,1,1,1,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,3,1,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,4,2,3,1,1,1,2,2,2,2,2,3,3,1,1,1
Engineering,male,823,706.3,3891,4,2,1,4,1,1,1,1,1,1,2,4,2,1,4,2,1,1,1,1,1,2,4,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,1,1,1,2,1,1,2,4,3,3,1,1,1,1,1,1,3,3,1,3,1,1,1
Administration,male,837,775,6202,3,1,4,4,2,1,2,2,2,4,1,3,1,2,4,4,2,2,2,3,4,1,1,1,1,1,3,4,4,1,2,2,1,3,2,2,3,3,1,4,3,3,2,1,2,2,4,2,4,2,4,4,4,2,1,2,2,3,2,2,2,4,3,2,2,3,2,2,2
Social Sciences,female,751,676.7,613,2,1,4,2,2,1,3,3,2,3,4,2,1,4,2,2,1,3,3,2,2,4,4,2,2,1,2,2,2,2,1,3,2,4,3,2,3,2,4,2,2,3,4,3,3,2,2,3,4,2,4,4,3,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2
Administration,female,870,666,4011,1,1,1,1,3,2,3,3,4,1,4,1,1,1,1,3,2,3,3,4,1,4,3,4,4,3,1,4,1,1,1,1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,4,3,1,1,4,2,2,3,1,4,4,4,4,1,1,1
Administration,female,742,641.75,2791,1,2,1,2,1,1,1,1,3,2,3,1,3,1,1,1,1,1,1,3,2,3,2,3,1,2,2,1,1,2,1,1,1,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,2,1,1,3,3,2,4,4,4,2,1,4,4,4,4,4
Administration,male,842,732,6496,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,3,2,3,3,3,4,4,4,4,4,4,4
Engineering,male,842,858,5145,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Engineering,male,842,724,2436,1,3,4,2,1,1,2,1,3,1,4,1,3,4,1,1,1,2,1,3,3,4,2,4,2,3,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,3,2,3,4,1,1,3,1,2,4,2,1,2,1
Engineering,female,937,782.2,3791,2,4,2,4,3,1,1,1,1,1,1,3,4,3,4,2,1,1,1,1,1,1,2,2,1,1,4,3,3,3,3,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,4,2,3,2,1,1,4,1,1,1,1
Engineering,female,808,791,0,1,3,3,2,1,1,3,3,1,3,3,1,3,3,2,1,1,3,3,1,3,3,1,1,1,1,4,3,3,4,4,1,2,2,1,1,2,3,1,1,1,2,1,2,1,1,2,2,2,3,1,2,2,3,2,1,2,3,4,4,4,2,3,2,2,4,2,2,2
Social Sciences,female,837,673,605,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,2,3,3,3,4,2,3,3,3,2,4,2,2,3,4,3,2
Administration,male,708,710,780,2,3,3,2,2,2,1,1,1,1,1,2,3,3,2,2,2,1,1,1,2,1,3,2,1,1,1,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,2,2,4,4,3,2,2,2,2,2,2,3,3,3,3,2,2,2
Social Sciences,female,712,597.35,6302,1,2,3,2,1,1,1,4,2,1,3,1,2,3,1,1,1,2,2,1,2,1,4,3,2,2,3,1,1,2,2,2,1,3,1,1,3,1,2,1,2,1,1,1,2,2,1,1,4,2,4,4,4,1,1,2,2,2,2,2,2,2,2,2,2,4,2,2,2
Social Sciences,male,708,722,5864,3,4,3,3,2,4,4,3,2,1,2,4,2,3,4,2,3,2,3,3,2,3,3,4,3,3,2,3,2,3,4,4,3,3,3,3,3,3,1,3,2,4,4,3,4,3,3,2,3,3,1,3,2,2,3,3,4,3,4,3,1,3,3,3,4,1,1,3,1
Social Sciences,female,799,724.05,6143,1,1,1,1,1,1,1,1,2,1,3,1,1,3,1,1,1,3,1,1,1,3,3,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,3,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Engineering,male,742,765,620,3,3,3,3,2,2,2,2,2,1,2,3,3,3,3,2,2,2,2,2,2,2,4,3,2,3,4,1,1,3,2,2,2,3,2,2,3,2,3,1,1,2,2,2,3,3,2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,3,3,2,3,3,1,1,1
Administration,male,865,788,6692,2,4,4,3,2,1,1,1,1,1,2,2,3,3,2,2,1,1,1,1,1,1,3,2,2,2,4,1,2,2,3,3,2,3,2,1,3,1,3,2,1,1,1,1,1,3,2,1,1,1,1,2,1,2,3,1,1,3,3,1,2,2,3,4,4,4,1,1,1
Administration,female,870,744,5908,2,3,3,2,2,2,2,2,3,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,4,2,2,3,1,3,2,2,3,2,2,2,3,2,3,2,2,2,2,1,1,2,3,3,1,1,1,2,2,2,3,3,2,4,3,2,2,2
Engineering,female,865,756,670,1,3,2,2,1,1,2,2,3,2,3,1,2,1,2,2,1,2,2,3,2,3,4,2,3,1,4,2,4,4,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,2,2,1,1,2,3,3,4,4,4,2,2,2,2,3,3,3,2,4,4,2,2,2
Engineering,male,776,621.9,2336,2,3,2,3,3,1,1,2,1,2,2,2,3,2,3,3,2,2,2,2,2,3,3,2,1,3,4,2,1,2,1,3,1,2,2,1,3,2,2,1,1,1,1,2,3,2,1,1,2,2,2,2,3,2,2,3,1,1,2,2,2,2,2,2,1,2,1,1,1
Engineering,male,814,669,3891,1,2,4,1,3,1,2,2,1,3,1,1,2,4,1,3,1,1,2,1,3,2,4,3,1,2,4,1,2,3,1,2,1,1,2,1,3,1,1,1,1,2,1,1,4,3,4,1,3,3,1,4,4,3,3,4,2,2,4,2,2,1,4,1,1,1,1,1,3
Social Sciences,female,865,761,6329,1,1,1,1,1,2,1,1,1,1,1,2,1,2,3,1,3,2,1,1,4,4,4,4,3,3,3,2,2,2,2,4,1,1,3,4,1,4,1,2,2,2,2,2,2,4,2,2,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4
Engineering,female,907,621,3891,1,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,4,1,1,1,4,1,1,4,1,3,1,1,4,1,4,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,2,2,1,3,2,1,1,1,1,1,1,1
Administration,female,914,769,6692,2,3,3,3,2,1,1,1,1,1,1,2,3,3,3,2,1,1,1,1,1,2,4,3,2,3,1,1,1,3,1,1,1,2,3,1,3,1,1,2,1,1,1,1,4,3,2,2,3,1,3,3,3,3,2,1,1,1,1,2,1,4,3,2,4,4,1,1,1
Administration,male,907,753,6202,2,2,3,3,2,1,1,2,2,1,1,2,3,3,2,1,1,1,2,2,1,2,1,4,1,4,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,1,2,3,2,2,3,1,1,2,1,2,3,2,1,2,1,1,2,2,3,1,1,2,2,1,3,4,3
Social Sciences,female,842,758.35,656,1,2,4,4,1,1,3,4,1,2,4,1,2,4,4,1,1,3,4,1,2,4,4,2,1,1,4,1,3,3,1,1,1,4,3,1,4,3,1,1,2,3,1,2,1,3,1,1,4,3,3,4,4,1,1,1,1,3,1,2,1,1,3,1,3,4,1,1,1
Engineering,female,842,756.7,5145,1,1,2,2,2,3,1,1,1,2,2,1,1,2,2,2,3,1,1,1,1,1,2,1,1,2,1,2,2,3,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,1,2,1,2,1,2,1,2,1,2,3,2,1,1
Administration,male,914,731.35,6006,1,3,3,2,3,1,2,2,3,3,3,1,3,3,1,3,1,2,2,3,3,3,4,3,2,3,3,1,1,2,2,3,1,1,3,1,3,1,1,1,1,3,1,2,4,4,2,1,2,3,2,3,2,3,4,1,2,1,2,3,3,2,3,2,3,3,2,2,3
Engineering,male,757,697.1,4745,3,2,1,3,3,2,1,2,1,2,3,3,2,1,3,3,2,1,2,1,2,3,2,3,2,2,2,3,1,2,2,2,1,1,3,1,2,1,2,1,1,3,1,1,1,4,1,1,2,2,2,2,2,3,1,2,4,1,2,1,4,4,1,2,4,3,1,2,2
Engineering,male,808,692.4,2555,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,2,3,2,1,3,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3
